Date,Keyword,Volume,Difficulty,Draft Link,Status,Approval,Notes,Publish Date
,texas total loss claim deadline,720,35,,,,Target for Week 1,
,how much will insurance pay for my totaled car texas,1200,42,,,,High intent keyword,
,not at fault accident total loss texas,880,38,,,,Important injury scenario,
,can i keep my totaled car texas,590,28,,,,Owner retention topic,
,diminished value texas,1600,55,,,,High volume DV keyword,
,gap insurance texas total loss,480,32,,,,Financial product tie-in,
,rental car after accident not at fault texas,950,40,,,,Practical help topic,
,texas total loss threshold,340,25,,,,Legal/technical topic,
,uninsured motorist hit my car texas,720,45,,,,UM coverage scenario,
,hail damage total loss texas,430,30,,,,Seasonal topic - spring,
,18 wheeler accident texas claim,640,52,,,,Commercial vehicle - higher value,
,rear end collision total loss,580,35,,,,Common accident type,
,how to negotiate total loss settlement texas,1100,48,,,,Actionable how-to,
,lemon law vs total loss texas,280,22,,,,Comparison content,
,salvage title texas,920,38,,,,Post-total-loss topic,
